DATE,INUR,KYUR,OHUR,WVUR,DJIA
1/1/2013,8.2,8,7.5,7.1,13615.32286
2/1/2013,8.2,8,7.6,6.9,13967.33
3/1/2013,8.1,8,7.6,6.8,14418.258
4/1/2013,8,8,7.6,6.7,14675.90909
5/1/2013,7.8,8,7.6,6.6,15172.18045
6/1/2013,7.7,8,7.6,6.6,15035.7545
7/1/2013,7.5,8,7.6,6.6,15390.21136
8/1/2013,7.3,8,7.6,6.6,15195.34773
9/1/2013,7.1,7.9,7.5,6.6,15269.841
10/1/2013,6.9,7.8,7.3,6.7,15289.2913
11/1/2013,6.7,7.7,7.1,6.7,15870.828
12/1/2013,6.5,7.6,6.9,6.7,16095.77476
1/1/2014,6.4,7.5,6.6,6.7,16243.72238
2/1/2014,6.3,7.3,6.4,6.7,15958.44316
3/1/2014,6.2,7.2,6.2,6.7,16308.62762
4/1/2014,6.1,7,6,6.6,16399.50238
5/1/2014,6.1,6.7,5.9,6.5,16567.25476
6/1/2014,6,6.5,5.8,6.5,16843.75476
7/1/2014,5.9,6.3,5.7,6.4,16988.26409
8/1/2014,5.8,6,5.6,6.4,16775.15429
9/1/2014,5.8,5.9,5.5,6.4,17098.12667
10/1/2014,5.7,5.7,5.4,6.4,16701.87043
11/1/2014,5.6,5.5,5.3,6.3,17648.97737
12/1/2014,5.5,5.4,5.2,6.4,17754.24045
1/1/2015,5.4,5.3,5.2,6.4,17542.255
2/1/2015,5.2,5.3,5.2,6.5,17945.41211
3/1/2015,5.1,5.3,5.2,6.7,17931.745
4/1/2015,4.9,5.3,5.1,6.8,17970.51333
5/1/2015,4.8,5.2,5,6.8,18124.713
6/1/2015,4.7,5.2,4.9,6.8,17927.21909
7/1/2015,4.6,5.2,4.8,6.7,17795.01682
8/1/2015,4.6,5.2,4.8,6.6,17061.59333
9/1/2015,4.5,5.2,4.7,6.5,16339.95
10/1/2015,4.5,5.2,4.8,6.4,17182.28227
11/1/2015,4.5,5.2,4.8,6.4,17723.7685
12/1/2015,4.6,5.2,4.9,6.4,17542.855
1/1/2016,4.6,5.2,5,6.4,16305.25211
2/1/2016,4.6,5.1,5,6.3,16299.8985
3/1/2016,4.6,5.1,5,6.3,17302.14273
4/1/2016,4.6,5,5,6.2,17844.36571
5/1/2016,4.5,4.9,5,6.2,17692.32
6/1/2016,4.4,4.9,5,6.2,17754.86773
7/1/2016,4.4,4.9,5,6.1,18341.1825
8/1/2016,4.3,5,5,6.1,18495.18739
9/1/2016,4.2,5,5.1,6,18267.40286
10/1/2016,4.1,5.1,5.2,5.9,18184.54667
11/1/2016,4.1,5.1,5.3,5.8,18697.32667
12/1/2016,4,5.1,5.3,5.6,19712.42381
1/1/2017,3.8,5.1,5.3,5.4,19908.1525
2/1/2017,3.7,5,5.2,5.2,20424.14421
3/1/2017,3.5,5,5.1,5.1,20823.05783
4/1/2017,3.4,5,5.1,5,20684.69368
5/1/2017,3.4,4.9,5,5,20936.81136
6/1/2017,3.4,4.9,5,5.1,21317.79545
7/1/2017,3.5,4.8,5,5.1,21581.251
8/1/2017,3.5,4.8,4.9,5.2,21914.07696
9/1/2017,3.5,4.6,4.9,5.3,22173.414
10/1/2017,3.5,4.5,4.8,5.3,23036.23727
11/1/2017,3.4,4.4,4.7,5.4,23557.92952
12/1/2017,3.3,4.3,4.6,5.4,24545.384
