DATE,UNRATE,UIBEN,PSAVE,CREDEBT,CPI,LABPART,EMPLVL,UNEMPLOY,NINLAB,CIVPART,POPTHM
1/1/1976,7.9,18.3,11.7,205.52079,0.18018018,61.3,87400,7534,59919,61.3,217172
2/1/1976,7.7,17.2,12.3,206.70929,0.35971223,61.3,87672,7326,60068,61.3,217315
3/1/1976,7.6,17.5,12.2,208.33857,0.17921147,61.3,87985,7230,60091,61.3,217455
4/1/1976,7.7,16.7,11.7,210.50006,0.357781753,61.6,88416,7330,59783,61.6,217607
5/1/1976,7.4,16,12.3,211.40742,0.713012478,61.5,88794,7053,59918,61.5,217773
6/1/1976,7.6,16.1,11.4,213.2401,0.530973451,61.5,88563,7322,60142,61.5,217948
7/1/1976,7.8,16.3,11.7,215.2727,0.528169014,61.8,89093,7490,59693,61.8,218134
8/1/1976,7.8,16.2,11.7,216.50986,0.525394046,61.8,89223,7518,59784,61.8,218337
9/1/1976,7.6,15.8,11.4,218.70878,0.348432056,61.6,89173,7380,60226,61.6,218542
10/1/1976,7.7,15.2,11.1,220.8671,0.520833333,61.6,89274,7430,60289,61.6,218739
11/1/1976,7.8,15.5,11.4,222.80491,0.172711572,61.9,89634,7620,59981,61.9,218920
12/1/1976,7.8,15.8,10.6,225.72159,0.344827586,61.8,89803,7545,60090,61.8,219093
1/1/1977,7.5,15.4,10.6,225.73315,0.515463918,61.6,89928,7280,60480,61.6,219262
2/1/1977,7.6,15.1,9.3,228.52821,1.025641026,61.9,90342,7443,60128,61.9,219424
3/1/1977,7.4,16,10.5,232.34827,0.676818951,62,90808,7307,60016,62,219594
4/1/1977,7.2,13.8,10.5,235.59405,0.840336134,62.1,91271,7059,60041,62.1,219772
5/1/1977,7,13.3,10.3,239.01809,0.5,62.2,91754,6911,59992,62.2,219953
6/1/1977,7.2,12.8,10.6,242.40858,0.663349917,62.4,91959,7134,59836,62.4,220143
7/1/1977,6.9,12,10.5,245.48106,0.494233937,62.1,92084,6829,60272,62.1,220349
8/1/1977,7,12.2,10.9,248.47453,0.327868852,62.3,92441,6925,60064,62.3,220573
9/1/1977,6.8,11.5,11.1,251.2618,0.326797386,62.3,92702,6751,60221,62.3,220796
10/1/1977,6.8,12,11,255.41564,0.325732899,62.4,93052,6763,60100,62.4,221007
11/1/1977,6.8,11.9,11.2,258.77291,0.487012987,62.8,93761,6815,59553,62.8,221206
12/1/1977,6.4,11.6,11.4,260.5627,0.323101777,62.7,94105,6386,59886,62.7,221390
1/1/1978,6.4,11.1,11.9,262.76532,0.644122383,62.8,94384,6489,59744,62.8,221553
2/1/1978,6.3,10.8,11.1,265.73802,0.64,62.7,94519,6318,59994,62.7,221711
3/1/1978,6.3,10.4,11,270.26281,0.79491256,62.8,94755,6337,59946,62.8,221892
4/1/1978,6.1,9.8,10.8,274.13698,0.788643533,63,95394,6180,59689,63,222084
5/1/1978,6,9.4,10.3,279.25657,0.938967136,63.1,95769,6127,59622,63.1,222278
6/1/1978,5.9,9,10,285.10077,1.085271318,63.3,96343,6028,59424,63.3,222482
7/1/1978,6.2,9.1,10.9,288.80554,0.766871166,63.2,96090,6309,59635,63.2,222697
8/1/1978,5.9,9.4,10.5,292.81311,0.456621005,63.2,96431,6080,59748,63.2,222933
9/1/1978,6,8.7,10.6,296.17942,0.757575758,63.3,96670,6125,59707,63.3,223168
10/1/1978,5.8,8.6,10.7,298.81249,0.902255639,63.3,97133,5947,59703,63.3,223383
11/1/1978,5.9,8.3,10.5,302.7302,0.44709389,63.5,97485,6077,59455,63.5,223585
12/1/1978,6,8.6,10.4,306.10039,0.445103858,63.6,97581,6228,59463,63.6,223781
1/1/1979,5.9,9.3,11.1,309.90309,0.886262925,63.6,97948,6109,59459,63.6,223973
2/1/1979,5.9,9.4,11.1,313.52378,1.171303075,63.8,98329,6173,59224,63.8,224150
3/1/1979,5.8,9.5,11.2,317.20074,1.013024602,63.8,98480,6109,59438,63.8,224333
4/1/1979,5.8,9.5,11,320.94487,1.146131805,63.5,98103,6069,59990,63.5,224529
5/1/1979,5.6,9.4,10.3,325.17739,1.274787535,63.3,98331,5840,60288,63.3,224734
6/1/1979,5.7,8.8,9.9,328.17274,1.118881119,63.5,98679,5959,60082,63.5,224948
7/1/1979,5.7,9.3,10.6,331.98999,1.106500692,63.6,99006,5996,59968,63.6,225174
8/1/1979,6,9.8,9.7,335.78546,0.957592339,63.6,98776,6320,60102,63.6,225419
9/1/1979,5.9,9.9,9.4,339.44975,1.08401084,63.8,99340,6190,59901,63.8,225662
10/1/1979,6,10.1,9.7,343.2513,0.804289544,63.7,99404,6296,60113,63.7,225893
11/1/1979,5.9,10.5,9.7,346.38941,0.930851064,63.7,99574,6238,60239,63.7,226120
12/1/1979,6,11.1,10.1,348.58911,1.054018445,63.9,99933,6325,60042,63.9,226339
1/1/1980,6.3,11.8,9.9,350.4757,1.434159061,64,99879,6683,59982,64,226554
2/1/1980,6.3,11.8,10.1,353.05623,1.413881748,64,99995,6702,60062,64,226753
3/1/1980,6.3,12.3,10.2,353.04211,1.520912548,63.7,99713,6729,60542,63.7,226955
4/1/1980,6.9,14.2,11.3,351.28721,1.123595506,63.8,99233,7358,60606,63.8,227156
5/1/1980,7.5,15.7,11.4,348.64454,0.987654321,63.9,98945,7984,60478,63.9,227387
6/1/1980,7.6,17.1,11.2,346.69696,1.100244499,63.7,98682,8098,60863,63.7,227624
7/1/1980,7.8,19.1,11.3,347.07137,0,63.8,98796,8363,60773,63.8,227840
8/1/1980,7.7,18.1,11.3,347.54601,0.725513906,63.7,98824,8281,60998,63.7,228070
9/1/1980,7.5,19.7,11.7,348.16314,0.840336134,63.6,99077,8021,61199,63.6,228302
10/1/1980,7.5,18.8,11.3,349.59772,0.952380952,63.7,99317,8088,61098,63.7,228515
11/1/1980,7.5,17.5,11.6,350.00449,0.825471698,63.8,99545,8023,61127,63.8,228696
12/1/1980,7.2,17.2,11.4,351.92005,0.935672515,63.6,99634,7718,61531,63.6,228858
1/1/1981,7.5,17,10.9,353.02932,0.811123986,63.9,99955,8071,61078,63.9,229004
2/1/1981,7.4,16.1,10.8,354.74499,1.034482759,63.9,100191,8051,61038,63.9,229148
3/1/1981,7.4,16.2,10.8,357.12713,0.682593857,64.1,100571,7982,60900,64.1,229314
4/1/1981,7.2,15.9,10.9,359.13287,0.677966102,64.2,101056,7869,60716,64.2,229489
5/1/1981,7.5,15.3,11,361.2328,0.785634119,64.3,101048,8174,60607,64.3,229668
6/1/1981,7.5,15.3,10.8,362.74346,0.890868597,63.7,100298,8098,61646,63.7,229864
7/1/1981,7.2,15,12.3,364.67773,1.103752759,63.8,100693,7863,61690,63.8,230077
8/1/1981,7.4,14.6,12,365.15446,0.76419214,63.8,100689,8036,61674,63.8,230300
9/1/1981,7.6,15.2,12.4,369.59574,0.975081257,63.5,100064,8230,62299,63.5,230527
10/1/1981,7.9,15.3,13,370.45671,0.214592275,63.8,100378,8646,61785,63.8,230732
11/1/1981,8.3,16.4,13.2,371.75991,0.321199143,63.9,100207,9029,61760,63.9,230906
12/1/1981,8.5,18.2,12.5,371.30144,0.320170758,63.6,99645,9267,62254,63.6,231073
1/1/1982,8.6,17.7,12.7,375.16736,0.319148936,63.7,99692,9397,62246,63.7,231235
2/1/1982,8.9,18.8,12.1,376.37707,0.318133616,63.8,99762,9705,62022,63.8,231392
3/1/1982,9,20.9,12.2,376.88541,-0.105708245,63.8,99672,9895,62100,63.8,231558
4/1/1982,9.3,23.1,12.9,378.63428,0.423280423,63.9,99576,10244,62024,63.9,231727
5/1/1982,9.4,23.9,12.3,380.4388,0.948366702,64.2,100116,10335,61575,64.2,231901
6/1/1982,9.6,24.7,12.3,381.98562,1.252609603,63.9,99543,10538,62109,63.9,232090
7/1/1982,9.8,25,12.5,382.4471,0.515463918,64,99493,10849,62022,64,232290
8/1/1982,9.8,25.5,12.6,382.86264,0.205128205,64.1,99633,10881,61997,64.1,232496
9/1/1982,10.1,27.8,11.8,384.35525,0.204708291,64.1,99504,11217,61969,64.1,232708
10/1/1982,10.4,31.7,11.3,384.96719,0.306435138,64.1,99215,11529,62137,64.1,232905
11/1/1982,10.8,32.2,10.9,386.76665,-0.203665988,64.2,99112,11938,62008,64.2,233077
12/1/1982,10.8,31.5,10.9,389.84874,-0.408163265,64.1,99032,12051,62116,64.1,233241
1/1/1983,10.4,29,11.1,391.82773,0.204918033,63.9,99161,11534,62659,63.9,233398
2/1/1983,10.4,30.2,11.1,392.36096,0.102249489,63.8,99089,11545,62871,63.8,233543
3/1/1983,10.3,31.6,10.6,395.58305,0,63.7,99179,11408,63069,63.7,233697
4/1/1983,10.2,30.6,10.3,398.42671,0.715015322,63.8,99560,11268,62966,63.8,233852
