DATE,PRVCFC,GPDI,GCE,EXPGS,IMPGS
1/1/1976,189.571,304.638,401.291,143.588,138.938
4/1/1976,193.669,322.303,400.985,146.621,147.116
7/1/1976,198.561,328.307,403.517,151.775,155.848
10/1/1976,204.247,337.65,410.818,156.076,162.68
1/1/1977,210.725,360.313,421.202,155.354,176.433
4/1/1977,217.476,389.703,431.362,161.906,183.042
7/1/1977,224.499,414.134,438.014,162.325,182.904
10/1/1977,231.796,422.299,446.749,157.809,187.391
1/1/1978,239.366,434.799,452.589,164.601,203.282
4/1/1978,247.493,470.584,472.288,186.215,208.84
7/1/1978,256.178,492.368,484.229,191.302,215.062
10/1/1978,265.419,515.755,496.241,205.415,221.815
1/1/1979,275.218,525.809,501.818,211.669,229.828
4/1/1979,285.343,539.293,516.508,220.908,243.097
7/1/1979,295.793,545.621,533.106,234.277,257.306
10/1/1979,306.569,547.875,547.775,253.664,280.466
1/1/1980,317.67,554.562,568.781,268.508,304.311
4/1/1980,329.033,519.294,588.547,277.389,292.6
7/1/1980,340.656,495.071,592.169,284.673,279.202
10/1/1980,352.541,551.472,608.893,292.517,299.2
1/1/1981,364.687,619.381,633.35,305.467,319.726
4/1/1981,376.443,609.843,648.673,308.455,321.963
7/1/1981,387.808,652.297,657.774,302.339,309.9
10/1/1981,398.783,643.395,677.727,304.695,319.445
1/1/1982,409.367,588.318,688.104,293.202,309.478
4/1/1982,418.011,593.621,703.093,294.729,299.115
7/1/1982,424.714,592.954,717.344,279.634,309.282
10/1/1982,429.476,549.242,737.351,265.274,294.861
1/1/1983,432.297,565.52,747.852,270.703,295.251
4/1/1983,436.021,613.783,761.061,272.514,317.949
7/1/1983,440.648,652.269,782.216,278.181,343.381
10/1/1983,446.177,718.496,775.099,286.587,357.972
1/1/1984,452.61,790.872,794.021,292.975,387.978
4/1/1984,459.545,818.894,819.132,302.2,406.501
7/1/1984,466.985,838.852,835.72,305.744,409.591
10/1/1984,474.928,831.741,862.769,308.603,416.359
1/1/1985,483.375,809.865,875.592,306.01,397.308
4/1/1985,491.968,827.04,900.527,304.126,418.571
7/1/1985,500.708,822.157,927.363,297.273,414.168
10/1/1985,509.594,859.545,938.584,305.433,438.867
1/1/1986,518.627,863.457,946.803,313.404,439.418
4/1/1986,527.418,855.237,967.519,315.119,443.99
7/1/1986,535.968,835.832,993.597,320.471,459.432
10/1/1986,544.275,842.063,996.385,334.999,468.628
1/1/1987,552.34,871.196,1008.681,336.451,477.685
4/1/1987,561.153,874.588,1025.219,355.36,502.337
