DATE,PCEC
1976-01-01,1109.908
1976-04-01,1129.54
1976-07-01,1158.806
1976-10-01,1192.408
1977-01-01,1228.212
1977-04-01,1255.98
1977-07-01,1286.905
1977-10-01,1324.804
1978-01-01,1354.053
1978-04-01,1411.385
1978-07-01,1442.217
1978-10-01,1481.354
1979-01-01,1517.141
1979-04-01,1557.635
1979-07-01,1611.867
1979-10-01,1655.035
1980-01-01,1702.302
1980-04-01,1704.723
1980-07-01,1763.771
1980-10-01,1831.874
1981-01-01,1885.734
1981-04-01,1917.524
1981-07-01,1958.099
1981-10-01,1974.447
1982-01-01,2014.155
1982-04-01,2039.645
1982-07-01,2085.671
1982-10-01,2145.554
1983-01-01,2184.589
1983-04-01,2249.438
1983-07-01,2319.895
1983-10-01,2372.496
1984-01-01,2418.165
1984-04-01,2475.876
1984-07-01,2513.523
1984-10-01,2561.797
1985-01-01,2636.008
1985-04-01,2681.764
1985-07-01,2754.148
1985-10-01,2779.4
1986-01-01,2823.648
1986-04-01,2851.456
1986-07-01,2917.201
1986-10-01,2952.807
1987-01-01,2983.513
1987-04-01,3053.33
1987-07-01,3117.358
1987-10-01,3150.916
1988-01-01,3231.896
1988-04-01,3291.716
1988-07-01,3361.899
1988-10-01,3434.539
1989-01-01,3490.172
1989-04-01,3553.767
1989-07-01,3609.399
1989-10-01,3653.692
1990-01-01,3737.948
1990-04-01,3783.421
1990-07-01,3846.7
1990-10-01,3867.909
1991-01-01,3873.562
1991-04-01,3926.932
1991-07-01,3973.269
1991-10-01,4000.032
1992-01-01,4100.401
1992-04-01,4155.66
1992-07-01,4226.971
1992-10-01,4307.205
1993-01-01,4349.515
1993-04-01,4418.581
1993-07-01,4487.189
1993-10-01,4552.651
1994-01-01,4621.223
1994-04-01,4683.163
1994-07-01,4752.761
1994-10-01,4826.713
1995-01-01,4862.436
1995-04-01,4933.609
1995-07-01,4998.662
1995-10-01,5055.655
1996-01-01,5130.615
1996-04-01,5220.499
1996-07-01,5274.505
1996-10-01,5352.763
1997-01-01,5433.105
1997-04-01,5471.267
1997-07-01,5579.179
1997-10-01,5663.61
1998-01-01,5721.342
1998-04-01,5832.566
1998-07-01,5926.846
1998-10-01,6028.238
1999-01-01,6102.04
1999-04-01,6230.641
1999-07-01,6335.31
1999-10-01,6467.039
2000-01-01,6618.217
2000-04-01,6711.911
2000-07-01,6819.984
2000-10-01,6918.606
2001-01-01,6995.298
2001-04-01,7042.25
2001-07-01,7070.337
2001-10-01,7187.32
2002-01-01,7217.715
2002-04-01,7307.955
2002-07-01,7397.135
2002-10-01,7472.958
2003-01-01,7567.16
2003-04-01,7661.458
2003-07-01,7820.927
2003-10-01,7913.453
2004-01-01,8048.777
2004-04-01,8147.108
2004-07-01,8283.335
2004-10-01,8448.621
2005-01-01,8551.735
2005-04-01,8701.145
2005-07-01,8868.089
2005-10-01,8955.295
2006-01-01,9100.153
2006-04-01,9227.649
2006-07-01,9353.772
2006-10-01,9427.368
2007-01-01,9572.138
2007-04-01,9678.713
2007-07-01,9798.383
2007-10-01,9937.14
2008-01-01,10004.445
2008-04-01,10129.869
2008-07-01,10159.078
2008-10-01,9906.942
2009-01-01,9814.969
2009-04-01,9805.502
2009-07-01,9939.406
2009-10-01,10004.996
2010-01-01,10101.822
2010-04-01,10208.145
2010-07-01,10300.754
2010-10-01,10430.304
2011-01-01,10558.195
2011-04-01,10673.018
2011-07-01,10755.029
2011-10-01,10809.186
2012-01-01,10959.301
2012-04-01,11005.055
2012-07-01,11059.393
2012-10-01,11165.703
2013-01-01,11265.599
2013-04-01,11290.973
2013-07-01,11379.188
2013-10-01,11518.351
2014-01-01,11618.108
2014-04-01,11784.687
2014-07-01,11934.297
2014-10-01,12053.809
2015-01-01,12083.904
2015-04-01,12224.707
2015-07-01,12347.752
2015-10-01,12397.543
2016-01-01,12495.078
2016-04-01,12637.36
2016-07-01,12759.058
2016-10-01,12881.566
2017-01-01,13049.405
2017-04-01,13133.989
2017-07-01,13260.313
2017-10-01,13490.728
2018-01-01,13677.349
2018-04-01,13850.838
2018-07-01,13988.794
2018-10-01,14102.937
2019-01-01,14145.897
2019-04-01,14323.749
2019-07-01,14482.196
2019-10-01,14619.042
2020-01-01,14440.16
2020-04-01,13049.766
2020-07-01,14388.701
2020-10-01,14586.036
2021-01-01,15131.484
2021-04-01,15813.545
2021-07-01,16147.297
2021-10-01,16517.976
2022-01-01,16874.769
2022-04-01,17261.338
