DATE,KYUR
1/1/1976,5.6
2/1/1976,5.6
3/1/1976,5.6
4/1/1976,5.6
5/1/1976,5.5
6/1/1976,5.5
7/1/1976,5.4
8/1/1976,5.4
9/1/1976,5.3
10/1/1976,5.2
11/1/1976,5.2
12/1/1976,5.1
1/1/1977,5.1
2/1/1977,5
3/1/1977,5
4/1/1977,4.9
5/1/1977,4.8
6/1/1977,4.7
7/1/1977,4.7
8/1/1977,4.7
9/1/1977,4.7
10/1/1977,4.8
11/1/1977,4.9
12/1/1977,4.9
1/1/1978,5
2/1/1978,5
3/1/1978,5
4/1/1978,4.9
5/1/1978,4.9
6/1/1978,5
7/1/1978,5
8/1/1978,5.1
9/1/1978,5.1
10/1/1978,5.2
11/1/1978,5.2
12/1/1978,5.2
1/1/1979,5.3
2/1/1979,5.3
3/1/1979,5.4
4/1/1979,5.4
5/1/1979,5.4
6/1/1979,5.4
7/1/1979,5.5
8/1/1979,5.6
9/1/1979,5.6
10/1/1979,5.7
11/1/1979,5.8
12/1/1979,6
1/1/1980,6.2
2/1/1980,6.6
3/1/1980,7
4/1/1980,7.5
5/1/1980,8
6/1/1980,8.3
7/1/1980,8.6
8/1/1980,8.8
9/1/1980,8.9
10/1/1980,8.8
11/1/1980,8.7
12/1/1980,8.6
1/1/1981,8.5
2/1/1981,8.4
3/1/1981,8.3
4/1/1981,8.2
5/1/1981,8.2
6/1/1981,8.2
7/1/1981,8.3
8/1/1981,8.5
9/1/1981,8.7
10/1/1981,9
11/1/1981,9.3
12/1/1981,9.5
1/1/1982,9.8
2/1/1982,10
3/1/1982,10.2
4/1/1982,10.4
5/1/1982,10.5
6/1/1982,10.7
7/1/1982,10.8
8/1/1982,11
9/1/1982,11.2
10/1/1982,11.5
11/1/1982,11.8
12/1/1982,12
1/1/1983,12.2
2/1/1983,12.2
3/1/1983,12.1
4/1/1983,11.9
5/1/1983,11.7
6/1/1983,11.6
7/1/1983,11.3
8/1/1983,11.1
9/1/1983,10.8
10/1/1983,10.4
11/1/1983,10.1
12/1/1983,9.8
1/1/1984,9.6
2/1/1984,9.5
3/1/1984,9.4
4/1/1984,9.3
5/1/1984,9.2
6/1/1984,9.1
7/1/1984,9
8/1/1984,8.9
9/1/1984,8.8
10/1/1984,8.7
11/1/1984,8.7
12/1/1984,8.6
1/1/1985,8.6
2/1/1985,8.6
3/1/1985,8.7
4/1/1985,8.8
5/1/1985,8.9
6/1/1985,9
7/1/1985,9.1
8/1/1985,9.2
9/1/1985,9.2
10/1/1985,9.3
11/1/1985,9.3
12/1/1985,9.3
1/1/1986,9.4
2/1/1986,9.4
3/1/1986,9.3
4/1/1986,9.3
5/1/1986,9.3
6/1/1986,9.2
7/1/1986,9.2
8/1/1986,9.2
9/1/1986,9.2
10/1/1986,9.2
11/1/1986,9.2
12/1/1986,9.2
1/1/1987,9.1
2/1/1987,9
3/1/1987,8.8
4/1/1987,8.6
5/1/1987,8.4
6/1/1987,8.2
7/1/1987,8.1
8/1/1987,7.9
9/1/1987,7.9
10/1/1987,7.8
11/1/1987,7.8
12/1/1987,7.7
1/1/1988,7.7
2/1/1988,7.7
