DATE,CA,KY,NY,MS,MN,OH,TX
1/1/1989,12.7,17.2,12.3,24.6,9.6,12.1,17.7
1/1/1990,.,.,.,.,.,.,.
1/1/1991,.,.,.,.,.,.,.
1/1/1992,.,.,.,.,.,.,.
1/1/1993,17.4,19.7,16.3,24.6,10.8,13.7,19.6
1/1/1994,.,.,.,.,.,.,.
1/1/1995,16.5,17.9,15.8,21.4,8.7,11.3,18.5
1/1/1996,16.7,17.5,16.3,20.8,8.8,11.7,17.5
1/1/1997,16,16,15.6,18.1,8.9,11,16.7
1/1/1998,14.9,15.3,15.4,17.6,8.9,10.7,15.6
1/1/1999,13.7,14.3,13.7,18.2,7.5,11,15.1
1/1/2000,12.7,13.9,13.2,17.6,6.9,9.8,14.6
1/1/2001,12.9,14.7,13.7,19,7.2,10.3,15
1/1/2002,13.3,14.8,13.9,18.9,7.5,10.2,15.4
1/1/2003,13.7,15,14.3,18.3,8,10.7,16.2
1/1/2004,13.2,16.3,14.5,19.3,8.1,11.7,16.2
1/1/2005,13.3,16.9,13.9,21,9.2,13,17.5
1/1/2006,13.1,17,14.2,20.9,9.7,13.2,16.9
1/1/2007,12.4,17.2,13.8,20.7,9.5,13.1,16.3
1/1/2008,13.3,17.3,13.7,20.8,9.6,13.3,15.8
1/1/2009,14.2,18.4,14.2,21.8,10.9,15.1,17.1
1/1/2010,15.8,18.9,15,22.4,11.5,15.8,17.9
1/1/2011,16.6,19.1,16.1,22.8,11.8,16.3,18.5
1/1/2012,17,19.3,15.9,23.8,11.4,16.2,17.9
1/1/2013,16.8,18.8,16,23.9,11.2,15.9,17.5
1/1/2014,16.4,19,16,21.9,11.4,15.8,17.2
1/1/2015,15.4,18.3,15.5,22.1,10.2,14.8,15.9
1/1/2016,14.4,18.2,14.8,21,9.9,14.5,15.6
1/1/2017,13.3,17.1,14.1,19.9,9.5,13.9,14.7
1/1/2018,12.8,16.7,13.7,19.8,9.6,13.8,14.9
1/1/2019,11.8,16,13.1,19.5,8.9,13,13.6
1/1/2020,11.5,14.9,12.7,18.7,8.3,12.6,13.4
