DATE,PSAVERT
1/1/1976,11.7
2/1/1976,12.3
3/1/1976,12.2
4/1/1976,11.7
5/1/1976,12.3
6/1/1976,11.4
7/1/1976,11.7
8/1/1976,11.7
9/1/1976,11.4
10/1/1976,11.1
11/1/1976,11.4
12/1/1976,10.6
1/1/1977,10.6
2/1/1977,9.3
3/1/1977,10.5
4/1/1977,10.5
5/1/1977,10.3
6/1/1977,10.6
7/1/1977,10.5
8/1/1977,10.9
9/1/1977,11.1
10/1/1977,11
11/1/1977,11.2
12/1/1977,11.4
1/1/1978,11.9
2/1/1978,11.1
3/1/1978,11
4/1/1978,10.8
5/1/1978,10.3
6/1/1978,10
7/1/1978,10.9
8/1/1978,10.5
9/1/1978,10.6
10/1/1978,10.7
11/1/1978,10.5
12/1/1978,10.4
1/1/1979,11.1
2/1/1979,11.1
3/1/1979,11.2
4/1/1979,11
5/1/1979,10.3
6/1/1979,9.9
7/1/1979,10.6
8/1/1979,9.7
9/1/1979,9.4
10/1/1979,9.7
11/1/1979,9.7
12/1/1979,10.1
1/1/1980,9.9
2/1/1980,10.1
3/1/1980,10.2
4/1/1980,11.3
5/1/1980,11.4
6/1/1980,11.2
7/1/1980,11.3
8/1/1980,11.3
9/1/1980,11.7
10/1/1980,11.3
11/1/1980,11.6
12/1/1980,11.4
1/1/1981,10.9
2/1/1981,10.8
3/1/1981,10.8
4/1/1981,10.9
5/1/1981,11
6/1/1981,10.8
7/1/1981,12.3
8/1/1981,12
9/1/1981,12.4
10/1/1981,13
11/1/1981,13.2
12/1/1981,12.5
1/1/1982,12.7
2/1/1982,12.1
3/1/1982,12.2
4/1/1982,12.9
5/1/1982,12.3
6/1/1982,12.3
7/1/1982,12.5
8/1/1982,12.6
9/1/1982,11.8
10/1/1982,11.3
11/1/1982,10.9
12/1/1982,10.9
1/1/1983,11.1
2/1/1983,11.1
3/1/1983,10.6
4/1/1983,10.3
5/1/1983,9.9
6/1/1983,9.1
7/1/1983,9.6
8/1/1983,9.2
9/1/1983,9.6
10/1/1983,9.7
11/1/1983,10.3
12/1/1983,10.1
1/1/1984,10
2/1/1984,11.7
3/1/1984,11.5
4/1/1984,11.5
5/1/1984,11.1
6/1/1984,11.1
7/1/1984,11.6
8/1/1984,11.8
9/1/1984,11.8
10/1/1984,11.7
11/1/1984,10.9
12/1/1984,11.2
1/1/1985,10.3
2/1/1985,9.1
3/1/1985,8.7
4/1/1985,9.9
5/1/1985,11.1
6/1/1985,9.6
7/1/1985,9.1
8/1/1985,8.2
9/1/1985,7.3
10/1/1985,9.1
11/1/1985,9
12/1/1985,8.6
1/1/1986,8.6
2/1/1986,9.3
3/1/1986,9.9
4/1/1986,9.7
5/1/1986,9.3
6/1/1986,9.4
7/1/1986,9.3
8/1/1986,9
9/1/1986,7.2
10/1/1986,8.4
11/1/1986,8.8
12/1/1986,7
1/1/1987,9.7
2/1/1987,8.5
3/1/1987,8.5
4/1/1987,4.5
5/1/1987,8.2
6/1/1987,7.7
7/1/1987,7.5
8/1/1987,7.2
9/1/1987,7.6
10/1/1987,8.3
11/1/1987,8.5
12/1/1987,8.7
1/1/1988,8.1
2/1/1988,8.6
3/1/1988,8.2
4/1/1988,8.8
5/1/1988,8.4
6/1/1988,8.4
7/1/1988,8.6
8/1/1988,8.4
9/1/1988,8.9
10/1/1988,8.6
11/1/1988,8.4
12/1/1988,8.3
1/1/1989,8.5
2/1/1989,9
3/1/1989,9.5
4/1/1989,8.4
5/1/1989,8.1
6/1/1989,8.2
7/1/1989,8.2
8/1/1989,7.6
9/1/1989,8.1
10/1/1989,8.5
11/1/1989,8.6
12/1/1989,7.8
1/1/1990,8
2/1/1990,8.6
3/1/1990,8.3
4/1/1990,8.8
5/1/1990,8.7
6/1/1990,8.6
7/1/1990,8.7
8/1/1990,8.1
9/1/1990,8.1
10/1/1990,7.8
11/1/1990,7.9
12/1/1990,8.8
1/1/1991,9.3
2/1/1991,8.8
3/1/1991,8
4/1/1991,8.6
5/1/1991,8.4
6/1/1991,8.9
7/1/1991,8.2
8/1/1991,8.6
9/1/1991,8.8
10/1/1991,9.3
11/1/1991,9
12/1/1991,9.7
1/1/1992,9.4
2/1/1992,9.8
3/1/1992,9.7
4/1/1992,9.9
5/1/1992,9.9
6/1/1992,10.1
7/1/1992,9.6
8/1/1992,9.7
9/1/1992,8.7
10/1/1992,8
11/1/1992,8
12/1/1992,10.6
1/1/1993,8.6
2/1/1993,8.9
3/1/1993,8.9
4/1/1993,8.7
5/1/1993,8.3
6/1/1993,7.8
7/1/1993,7.6
8/1/1993,7.7
9/1/1993,6.9
10/1/1993,6.3
11/1/1993,6.3
12/1/1993,9.1
1/1/1994,7.1
