DATE,TOTALSL
1/1/1976,205.52079
2/1/1976,206.70929
3/1/1976,208.33857
4/1/1976,210.50006
5/1/1976,211.40742
6/1/1976,213.2401
7/1/1976,215.2727
8/1/1976,216.50986
9/1/1976,218.70878
10/1/1976,220.8671
11/1/1976,222.80491
12/1/1976,225.72159
1/1/1977,225.73315
2/1/1977,228.52821
3/1/1977,232.34827
4/1/1977,235.59405
5/1/1977,239.01809
6/1/1977,242.40858
7/1/1977,245.48106
8/1/1977,248.47453
9/1/1977,251.2618
10/1/1977,255.41564
11/1/1977,258.77291
12/1/1977,260.5627
1/1/1978,262.76532
2/1/1978,265.73802
3/1/1978,270.26281
4/1/1978,274.13698
5/1/1978,279.25657
6/1/1978,285.10077
7/1/1978,288.80554
8/1/1978,292.81311
9/1/1978,296.17942
10/1/1978,298.81249
11/1/1978,302.7302
12/1/1978,306.10039
1/1/1979,309.90309
2/1/1979,313.52378
3/1/1979,317.20074
4/1/1979,320.94487
5/1/1979,325.17739
6/1/1979,328.17274
7/1/1979,331.98999
8/1/1979,335.78546
9/1/1979,339.44975
10/1/1979,343.2513
11/1/1979,346.38941
12/1/1979,348.58911
1/1/1980,350.4757
2/1/1980,353.05623
3/1/1980,353.04211
4/1/1980,351.28721
5/1/1980,348.64454
6/1/1980,346.69696
7/1/1980,347.07137
8/1/1980,347.54601
9/1/1980,348.16314
10/1/1980,349.59772
11/1/1980,350.00449
12/1/1980,351.92005
1/1/1981,353.02932
2/1/1981,354.74499
3/1/1981,357.12713
4/1/1981,359.13287
5/1/1981,361.2328
6/1/1981,362.74346
7/1/1981,364.67773
8/1/1981,365.15446
9/1/1981,369.59574
10/1/1981,370.45671
11/1/1981,371.75991
12/1/1981,371.30144
1/1/1982,375.16736
2/1/1982,376.37707
3/1/1982,376.88541
4/1/1982,378.63428
5/1/1982,380.4388
6/1/1982,381.98562
7/1/1982,382.4471
8/1/1982,382.86264
9/1/1982,384.35525
10/1/1982,384.96719
11/1/1982,386.76665
12/1/1982,389.84874
1/1/1983,391.82773
2/1/1983,392.36096
3/1/1983,395.58305
4/1/1983,398.42671
5/1/1983,399.95372
6/1/1983,404.8326
7/1/1983,409.47521
8/1/1983,413.99357
9/1/1983,417.82094
10/1/1983,423.773
11/1/1983,429.97738
12/1/1983,437.06886
1/1/1984,441.99113
2/1/1984,451.90703
3/1/1984,456.55016
4/1/1984,462.14122
5/1/1984,472.44428
6/1/1984,480.99454
7/1/1984,487.1488
8/1/1984,494.11763
9/1/1984,498.4964
10/1/1984,504.65866
11/1/1984,510.15408
12/1/1984,517.27898
1/1/1985,523.97936
2/1/1985,532.44843
3/1/1985,541.75718
4/1/1985,549.34871
5/1/1985,555.84205
6/1/1985,561.2066
7/1/1985,567.653
8/1/1985,573.29931
9/1/1985,582.14837
10/1/1985,588.30745
11/1/1985,594.47775
12/1/1985,599.71123
1/1/1986,605.70302
2/1/1986,610.67829
3/1/1986,613.37662
4/1/1986,619.65773
5/1/1986,625.81996
6/1/1986,630.05583
7/1/1986,635.15095
8/1/1986,638.90439
9/1/1986,646.02316
10/1/1986,653.78729
11/1/1986,653.7673
12/1/1986,654.75024
1/1/1987,653.26748
2/1/1987,652.5323
3/1/1987,651.19767
4/1/1987,656.40142
5/1/1987,658.47003
6/1/1987,662.8975
7/1/1987,667.65979
8/1/1987,672.22514
9/1/1987,676.21116
10/1/1987,681.18446
11/1/1987,684.71004
12/1/1987,686.31877
1/1/1988,692.27095
2/1/1988,696.38729
3/1/1988,700.7012
4/1/1988,705.86805
5/1/1988,710.04585
6/1/1988,713.18919
7/1/1988,716.11302
8/1/1988,721.53558
9/1/1988,722.94769
10/1/1988,726.10533
11/1/1988,729.66007
12/1/1988,731.91776
1/1/1989,749.02308
2/1/1989,752.893
3/1/1989,760.01834
4/1/1989,764.71245
5/1/1989,769.2757
6/1/1989,773.22711
7/1/1989,776.26008
8/1/1989,778.8765
9/1/1989,781.82209
10/1/1989,785.54565
11/1/1989,790.29725
12/1/1989,794.61218
1/1/1990,797.71486
2/1/1990,798.77319
3/1/1990,798.74809
4/1/1990,798.74701
5/1/1990,799.75103
6/1/1990,802.89274
7/1/1990,806.8875
8/1/1990,808.75857
9/1/1990,810.43623
10/1/1990,812.65511
11/1/1990,813.66266
12/1/1990,808.23057
1/1/1991,806.6005
2/1/1991,807.03043
3/1/1991,808.35183
4/1/1991,807.81895
5/1/1991,807.83216
6/1/1991,805.99466
7/1/1991,804.02756
8/1/1991,802.02192
9/1/1991,800.88934
10/1/1991,798.61698
11/1/1991,798.27498
12/1/1991,798.02897
1/1/1992,798.98271
2/1/1992,799.64038
3/1/1992,799.44211
4/1/1992,797.65814
5/1/1992,797.6679
6/1/1992,797.27631
7/1/1992,798.06816
8/1/1992,799.8238
9/1/1992,800.1989
10/1/1992,799.55599
11/1/1992,802.69798
12/1/1992,806.11869
1/1/1993,809.32543
2/1/1993,814.05892
3/1/1993,813.65629
4/1/1993,819.75694
5/1/1993,819.75905
6/1/1993,823.81181
7/1/1993,829.51873
8/1/1993,834.23553
9/1/1993,840.60298
10/1/1993,847.61663
11/1/1993,856.52342
12/1/1993,865.65058
1/1/1994,872.02182
2/1/1994,880.35286
3/1/1994,891.33316
4/1/1994,900.98953
5/1/1994,912.8637
6/1/1994,924.21602
7/1/1994,931.13474
8/1/1994,944.80317
9/1/1994,957.3756
10/1/1994,968.46871
11/1/1994,981.42611
12/1/1994,997.30174
1/1/1995,1010.39504
2/1/1995,1018.55911
3/1/1995,1033.63209
4/1/1995,1043.69517
5/1/1995,1057.47083
6/1/1995,1069.37791
7/1/1995,1077.737
8/1/1995,1089.60205
9/1/1995,1106.61268
10/1/1995,1113.52851
11/1/1995,1132.16017
12/1/1995,1140.74436
1/1/1996,1153.2703
2/1/1996,1163.09378
3/1/1996,1171.68426
4/1/1996,1180.9031
5/1/1996,1191.11369
6/1/1996,1200.95002
7/1/1996,1211.89736
8/1/1996,1220.503
9/1/1996,1225.27176
10/1/1996,1231.3361
11/1/1996,1242.42191
12/1/1996,1253.43709
1/1/1997,1258.36528
2/1/1997,1261.85081
3/1/1997,1264.14634
4/1/1997,1274.08738
5/1/1997,1278.67842
6/1/1997,1282.85852
7/1/1997,1288.78203
8/1/1997,1294.21924
9/1/1997,1301.63497
10/1/1997,1309.38939
11/1/1997,1312.45718
12/1/1997,1324.75733
1/1/1998,1320.04402
2/1/1998,1324.34272
3/1/1998,1332.90344
4/1/1998,1360.45629
5/1/1998,1363.08086
6/1/1998,1373.94233
7/1/1998,1380.72085
8/1/1998,1386.66645
9/1/1998,1397.28973
10/1/1998,1405.39666
11/1/1998,1408.44269
12/1/1998,1420.99644
1/1/1999,1431.23693
2/1/1999,1441.31459
3/1/1999,1450.87882
4/1/1999,1457.67057
5/1/1999,1468.14661
6/1/1999,1479.31532
7/1/1999,1492.3776
8/1/1999,1503.22661
9/1/1999,1511.05926
10/1/1999,1517.28183
11/1/1999,1525.33442
12/1/1999,1531.10596
1/1/2000,1538.52018
2/1/2000,1549.18529
3/1/2000,1561.45069
4/1/2000,1570.52774
5/1/2000,1583.50792
6/1/2000,1609.54804
7/1/2000,1629.75144
8/1/2000,1651.6154
9/1/2000,1669.00081
10/1/2000,1684.59932
11/1/2000,1700.94454
12/1/2000,1716.96972
1/1/2001,1729.85168
2/1/2001,1748.70202
3/1/2001,1760.54184
4/1/2001,1773.09833
5/1/2001,1781.17746
6/1/2001,1792.36809
7/1/2001,1797.35057
8/1/2001,1806.35904
9/1/2001,1814.25238
10/1/2001,1829.84026
11/1/2001,1857.84279
12/1/2001,1867.85287
1/1/2002,1867.41869
2/1/2002,1881.90537
3/1/2002,1894.69033
4/1/2002,1903.95799
5/1/2002,1914.61399
6/1/2002,1927.18098
7/1/2002,1939.2114
8/1/2002,1947.50009
9/1/2002,1950.65139
10/1/2002,1957.1513
11/1/2002,1965.17913
12/1/2002,1972.11221
1/1/2003,1982.56131
2/1/2003,1993.40569
3/1/2003,2001.20815
4/1/2003,2014.09978
5/1/2003,2027.50251
6/1/2003,2033.26841
7/1/2003,2040.06439
8/1/2003,2049.12434
9/1/2003,2057.09079
10/1/2003,2065.4951
11/1/2003,2066.40009
12/1/2003,2077.36069
1/1/2004,2088.24304
2/1/2004,2095.34036
3/1/2004,2109.72032
4/1/2004,2112.71615
5/1/2004,2120.83915
6/1/2004,2127.98941
7/1/2004,2137.09298
8/1/2004,2143.43512
9/1/2004,2160.1483
10/1/2004,2176.71934
11/1/2004,2183.74635
12/1/2004,2192.24617
1/1/2005,2196.77763
2/1/2005,2211.55871
3/1/2005,2220.19919
4/1/2005,2232.53538
5/1/2005,2232.67152
6/1/2005,2247.83343
7/1/2005,2257.23094
8/1/2005,2267.04488
9/1/2005,2271.63328
10/1/2005,2276.84314
11/1/2005,2283.66127
12/1/2005,2290.92813
1/1/2006,2367.47108
2/1/2006,2374.97732
3/1/2006,2385.80789
4/1/2006,2397.6806
5/1/2006,2407.16145
6/1/2006,2395.81318
7/1/2006,2403.09925
8/1/2006,2415.73203
9/1/2006,2426.81323
10/1/2006,2429.39986
11/1/2006,2440.74907
12/1/2006,2456.7157
1/1/2007,2457.94558
2/1/2007,2470.04992
3/1/2007,2484.43318
4/1/2007,2493.72977
5/1/2007,2510.01606
6/1/2007,2519.12104
7/1/2007,2533.66767
8/1/2007,2552.76707
9/1/2007,2566.99536
10/1/2007,2582.32603
11/1/2007,2597.6493
12/1/2007,2609.47653
1/1/2008,2619.42765
2/1/2008,2634.49642
3/1/2008,2645.60364
4/1/2008,2654.24323
5/1/2008,2660.19315
6/1/2008,2662.40952
7/1/2008,2665.32126
8/1/2008,2662.23778
9/1/2008,2657.38913
10/1/2008,2660.7295
11/1/2008,2651.48139
12/1/2008,2643.78896
1/1/2009,2647.02886
2/1/2009,2638.53274
3/1/2009,2622.82785
4/1/2009,2615.97301
5/1/2009,2610.01078
6/1/2009,2591.47541
7/1/2009,2590.85498
8/1/2009,2582.12601
9/1/2009,2576.59439
10/1/2009,2563.42273
11/1/2009,2551.56929
12/1/2009,2555.01664
1/1/2010,2543.50802
2/1/2010,2530.02428
3/1/2010,2536.55195
4/1/2010,2532.76479
5/1/2010,2521.68794
6/1/2010,2518.41641
7/1/2010,2521.1048
8/1/2010,2520.42213
9/1/2010,2522.09423
10/1/2010,2530.106
11/1/2010,2531.23226
12/1/2010,2646.81126
1/1/2011,2657.3601
2/1/2011,2663.77992
3/1/2011,2672.03136
4/1/2011,2679.97392
5/1/2011,2683.971
6/1/2011,2693.0883
7/1/2011,2717.49471
8/1/2011,2709.1147
9/1/2011,2720.06046
10/1/2011,2727.95336
11/1/2011,2746.76076
12/1/2011,2756.22486
1/1/2012,2769.93098
2/1/2012,2777.80358
3/1/2012,2791.56594
4/1/2012,2802.54618
5/1/2012,2818.39729
6/1/2012,2829.85078
7/1/2012,2840.09463
8/1/2012,2857.10779
9/1/2012,2865.78973
10/1/2012,2881.76267
11/1/2012,2903.31606
12/1/2012,2912.90502
1/1/2013,2930.70325
2/1/2013,2950.55705
3/1/2013,2961.00546
4/1/2013,2972.09059
5/1/2013,2986.93636
6/1/2013,3000.13761
7/1/2013,3015.14301
8/1/2013,3029.98525
