DATE,W825RC1
1/1/1976,18.3
2/1/1976,17.2
3/1/1976,17.5
4/1/1976,16.7
5/1/1976,16
6/1/1976,16.1
7/1/1976,16.3
8/1/1976,16.2
9/1/1976,15.8
10/1/1976,15.2
11/1/1976,15.5
12/1/1976,15.8
1/1/1977,15.4
2/1/1977,15.1
3/1/1977,16
4/1/1977,13.8
5/1/1977,13.3
6/1/1977,12.8
7/1/1977,12
8/1/1977,12.2
9/1/1977,11.5
10/1/1977,12
11/1/1977,11.9
12/1/1977,11.6
1/1/1978,11.1
2/1/1978,10.8
3/1/1978,10.4
4/1/1978,9.8
5/1/1978,9.4
6/1/1978,9
7/1/1978,9.1
8/1/1978,9.4
9/1/1978,8.7
10/1/1978,8.6
11/1/1978,8.3
12/1/1978,8.6
1/1/1979,9.3
2/1/1979,9.4
3/1/1979,9.5
4/1/1979,9.5
5/1/1979,9.4
6/1/1979,8.8
7/1/1979,9.3
8/1/1979,9.8
9/1/1979,9.9
10/1/1979,10.1
11/1/1979,10.5
12/1/1979,11.1
1/1/1980,11.8
2/1/1980,11.8
3/1/1980,12.3
4/1/1980,14.2
5/1/1980,15.7
6/1/1980,17.1
7/1/1980,19.1
8/1/1980,18.1
9/1/1980,19.7
10/1/1980,18.8
11/1/1980,17.5
12/1/1980,17.2
1/1/1981,17
2/1/1981,16.1
3/1/1981,16.2
4/1/1981,15.9
5/1/1981,15.3
6/1/1981,15.3
7/1/1981,15
8/1/1981,14.6
9/1/1981,15.2
10/1/1981,15.3
11/1/1981,16.4
12/1/1981,18.2
1/1/1982,17.7
2/1/1982,18.8
3/1/1982,20.9
4/1/1982,23.1
5/1/1982,23.9
6/1/1982,24.7
7/1/1982,25
8/1/1982,25.5
9/1/1982,27.8
10/1/1982,31.7
11/1/1982,32.2
12/1/1982,31.5
1/1/1983,29
2/1/1983,30.2
3/1/1983,31.6
4/1/1983,30.6
5/1/1983,34.3
6/1/1983,31.4
7/1/1983,24.8
8/1/1983,24
9/1/1983,21.2
10/1/1983,19.4
11/1/1983,20.4
12/1/1983,20
1/1/1984,18.2
2/1/1984,17.1
3/1/1984,16.4
4/1/1984,15.8
5/1/1984,16.1
6/1/1984,15.1
7/1/1984,15
8/1/1984,15.3
9/1/1984,15.1
10/1/1984,15.8
11/1/1984,15.9
12/1/1984,16
1/1/1985,17
2/1/1985,16.8
3/1/1985,16.9
4/1/1985,16.6
5/1/1985,16.2
6/1/1985,15
7/1/1985,15.1
8/1/1985,14.8
9/1/1985,15.1
10/1/1985,15.7
11/1/1985,15.4
12/1/1985,15.8
1/1/1986,15.7
2/1/1986,15.5
3/1/1986,15.6
4/1/1986,16.3
5/1/1986,16.4
6/1/1986,16.5
7/1/1986,17
8/1/1986,16.7
9/1/1986,17.1
10/1/1986,17
11/1/1986,16.7
12/1/1986,16.9
1/1/1987,15.1
2/1/1987,15.6
3/1/1987,15.6
4/1/1987,15.3
5/1/1987,14.8
6/1/1987,15.2
7/1/1987,14.7
8/1/1987,14.4
9/1/1987,14.2
10/1/1987,13.3
11/1/1987,13.3
12/1/1987,13.9
1/1/1988,13.6
2/1/1988,14
3/1/1988,14.1
4/1/1988,13
5/1/1988,13.3
6/1/1988,13.3
7/1/1988,12.9
8/1/1988,13.8
9/1/1988,13.1
10/1/1988,12.8
11/1/1988,13.3
12/1/1988,13
1/1/1989,13.5
2/1/1989,13.4
3/1/1989,13.7
4/1/1989,13.6
5/1/1989,13.8
6/1/1989,13.8
7/1/1989,14.4
8/1/1989,14.8
9/1/1989,14.7
10/1/1989,15.6
11/1/1989,15.8
12/1/1989,15.8
1/1/1990,16.8
2/1/1990,16.4
3/1/1990,16.1
4/1/1990,16.7
5/1/1990,17.5
6/1/1990,17.1
7/1/1990,18.1
8/1/1990,17.5
9/1/1990,19
10/1/1990,20.1
11/1/1990,20.7
12/1/1990,22.2
1/1/1991,23.5
2/1/1991,24.2
3/1/1991,25.2
4/1/1991,27.3
5/1/1991,27.6
6/1/1991,27.5
7/1/1991,26.9
8/1/1991,24.7
9/1/1991,26.2
10/1/1991,26.8
11/1/1991,26.1
12/1/1991,35.1
1/1/1992,39.2
2/1/1992,38.7
3/1/1992,41.2
4/1/1992,42.1
5/1/1992,40.4
6/1/1992,41.1
7/1/1992,40.1
8/1/1992,38.3
9/1/1992,40.4
10/1/1992,38.1
11/1/1992,37.3
12/1/1992,38.5
1/1/1993,34.8
2/1/1993,33.7
3/1/1993,36.7
4/1/1993,35.4
5/1/1993,33.7
6/1/1993,37.6
7/1/1993,34.6
8/1/1993,36.5
9/1/1993,35.6
10/1/1993,33
11/1/1993,32.5
12/1/1993,34.2
1/1/1994,29.1
2/1/1994,28.4
3/1/1994,26.4
4/1/1994,26.7
5/1/1994,23.6
6/1/1994,23.1
7/1/1994,22.1
8/1/1994,22.5
9/1/1994,21.6
10/1/1994,21.8
11/1/1994,21.5
12/1/1994,20.6
1/1/1995,20.9
2/1/1995,21
3/1/1995,20.8
4/1/1995,21.1
5/1/1995,22.2
6/1/1995,21.4
7/1/1995,22.2
8/1/1995,22
9/1/1995,21.7
10/1/1995,22.9
11/1/1995,22.3
12/1/1995,22.2
1/1/1996,23.5
2/1/1996,23.1
3/1/1996,22.4
4/1/1996,23.8
5/1/1996,22.2
6/1/1996,22.2
7/1/1996,22.2
8/1/1996,20.8
9/1/1996,21.9
10/1/1996,21.8
11/1/1996,21.1
12/1/1996,22.2
1/1/1997,21
2/1/1997,20.9
3/1/1997,21
4/1/1997,21
5/1/1997,19.7
6/1/1997,20.4
7/1/1997,19.7
8/1/1997,19.1
9/1/1997,20.2
10/1/1997,18.8
11/1/1997,19.6
12/1/1997,19.9
1/1/1998,19
2/1/1998,19.3
3/1/1998,19.9
4/1/1998,19.3
5/1/1998,18.9
