DATE,UNEMPLOY
1/1/1976,7534
2/1/1976,7326
3/1/1976,7230
4/1/1976,7330
5/1/1976,7053
6/1/1976,7322
7/1/1976,7490
8/1/1976,7518
9/1/1976,7380
10/1/1976,7430
11/1/1976,7620
12/1/1976,7545
1/1/1977,7280
2/1/1977,7443
3/1/1977,7307
4/1/1977,7059
5/1/1977,6911
6/1/1977,7134
7/1/1977,6829
8/1/1977,6925
9/1/1977,6751
10/1/1977,6763
11/1/1977,6815
12/1/1977,6386
1/1/1978,6489
2/1/1978,6318
3/1/1978,6337
4/1/1978,6180
5/1/1978,6127
6/1/1978,6028
7/1/1978,6309
8/1/1978,6080
9/1/1978,6125
10/1/1978,5947
11/1/1978,6077
12/1/1978,6228
1/1/1979,6109
2/1/1979,6173
3/1/1979,6109
4/1/1979,6069
5/1/1979,5840
6/1/1979,5959
7/1/1979,5996
8/1/1979,6320
9/1/1979,6190
10/1/1979,6296
11/1/1979,6238
12/1/1979,6325
1/1/1980,6683
2/1/1980,6702
3/1/1980,6729
4/1/1980,7358
5/1/1980,7984
6/1/1980,8098
7/1/1980,8363
8/1/1980,8281
9/1/1980,8021
10/1/1980,8088
11/1/1980,8023
12/1/1980,7718
1/1/1981,8071
2/1/1981,8051
3/1/1981,7982
4/1/1981,7869
5/1/1981,8174
6/1/1981,8098
7/1/1981,7863
8/1/1981,8036
9/1/1981,8230
10/1/1981,8646
11/1/1981,9029
12/1/1981,9267
1/1/1982,9397
2/1/1982,9705
3/1/1982,9895
4/1/1982,10244
5/1/1982,10335
6/1/1982,10538
7/1/1982,10849
8/1/1982,10881
9/1/1982,11217
10/1/1982,11529
11/1/1982,11938
12/1/1982,12051
1/1/1983,11534
2/1/1983,11545
3/1/1983,11408
4/1/1983,11268
5/1/1983,11154
6/1/1983,11246
7/1/1983,10548
8/1/1983,10623
9/1/1983,10282
10/1/1983,9887
11/1/1983,9499
12/1/1983,9331
1/1/1984,9008
2/1/1984,8791
3/1/1984,8746
4/1/1984,8762
5/1/1984,8456
6/1/1984,8226
7/1/1984,8537
8/1/1984,8519
9/1/1984,8367
10/1/1984,8381
11/1/1984,8198
12/1/1984,8358
1/1/1985,8423
2/1/1985,8321
3/1/1985,8339
4/1/1985,8395
5/1/1985,8302
6/1/1985,8460
7/1/1985,8513
8/1/1985,8196
9/1/1985,8248
10/1/1985,8298
11/1/1985,8128
12/1/1985,8138
1/1/1986,7795
2/1/1986,8402
3/1/1986,8383
4/1/1986,8364
5/1/1986,8439
6/1/1986,8508
7/1/1986,8319
8/1/1986,8135
9/1/1986,8310
10/1/1986,8243
11/1/1986,8159
12/1/1986,7883
1/1/1987,7892
