DATE,INUR,KYUR,OHUR,WVUR
1/1/2013,8.2,8,7.5,7.1
2/1/2013,8.2,8,7.6,6.9
3/1/2013,8.1,8,7.6,6.8
4/1/2013,8,8,7.6,6.7
5/1/2013,7.8,8,7.6,6.6
6/1/2013,7.7,8,7.6,6.6
7/1/2013,7.5,8,7.6,6.6
8/1/2013,7.3,8,7.6,6.6
9/1/2013,7.1,7.9,7.5,6.6
10/1/2013,6.9,7.8,7.3,6.7
11/1/2013,6.7,7.7,7.1,6.7
12/1/2013,6.5,7.6,6.9,6.7
1/1/2014,6.4,7.5,6.6,6.7
2/1/2014,6.3,7.3,6.4,6.7
3/1/2014,6.2,7.2,6.2,6.7
4/1/2014,6.1,7,6,6.6
5/1/2014,6.1,6.7,5.9,6.5
6/1/2014,6,6.5,5.8,6.5
7/1/2014,5.9,6.3,5.7,6.4
8/1/2014,5.8,6,5.6,6.4
9/1/2014,5.8,5.9,5.5,6.4
10/1/2014,5.7,5.7,5.4,6.4
11/1/2014,5.6,5.5,5.3,6.3
12/1/2014,5.5,5.4,5.2,6.4
1/1/2015,5.4,5.3,5.2,6.4
2/1/2015,5.2,5.3,5.2,6.5
3/1/2015,5.1,5.3,5.2,6.7
4/1/2015,4.9,5.3,5.1,6.8
5/1/2015,4.8,5.2,5,6.8
6/1/2015,4.7,5.2,4.9,6.8
7/1/2015,4.6,5.2,4.8,6.7
8/1/2015,4.6,5.2,4.8,6.6
9/1/2015,4.5,5.2,4.7,6.5
10/1/2015,4.5,5.2,4.8,6.4
11/1/2015,4.5,5.2,4.8,6.4
12/1/2015,4.6,5.2,4.9,6.4
1/1/2016,4.6,5.2,5,6.4
2/1/2016,4.6,5.1,5,6.3
3/1/2016,4.6,5.1,5,6.3
4/1/2016,4.6,5,5,6.2
5/1/2016,4.5,4.9,5,6.2
6/1/2016,4.4,4.9,5,6.2
7/1/2016,4.4,4.9,5,6.1
8/1/2016,4.3,5,5,6.1
9/1/2016,4.2,5,5.1,6
10/1/2016,4.1,5.1,5.2,5.9
11/1/2016,4.1,5.1,5.3,5.8
12/1/2016,4,5.1,5.3,5.6
1/1/2017,3.8,5.1,5.3,5.4
2/1/2017,3.7,5,5.2,5.2
3/1/2017,3.5,5,5.1,5.1
4/1/2017,3.4,5,5.1,5
5/1/2017,3.4,4.9,5,5
6/1/2017,3.4,4.9,5,5.1
7/1/2017,3.5,4.8,5,5.1
8/1/2017,3.5,4.8,4.9,5.2
9/1/2017,3.5,4.6,4.9,5.3
10/1/2017,3.5,4.5,4.8,5.3
11/1/2017,3.4,4.4,4.7,5.4
12/1/2017,3.3,4.3,4.6,5.4
1/1/2018,3.3,4.2,4.6,5.4
2/1/2018,3.3,4.2,4.5,5.4
3/1/2018,3.3,4.2,4.5,5.4
4/1/2018,3.3,4.2,4.5,5.3
5/1/2018,3.4,4.2,4.5,5.2
6/1/2018,3.4,4.2,4.5,5.2
7/1/2018,3.4,4.2,4.5,5.1
8/1/2018,3.5,4.2,4.4,5
9/1/2018,3.5,4.2,4.5,5
10/1/2018,3.5,4.2,4.5,5
11/1/2018,3.5,4.2,4.5,5.1
12/1/2018,3.5,4.2,4.5,5.1
1/1/2019,3.5,4.2,4.4,5
2/1/2019,3.4,4.1,4.2,4.9
3/1/2019,3.3,4.1,4.1,4.8
4/1/2019,3.2,4.1,4,4.8
5/1/2019,3.2,4.1,3.9,4.7
6/1/2019,3.2,4.1,4,4.8
7/1/2019,3.2,4.1,4.1,4.9
8/1/2019,3.3,4.1,4.2,4.9
9/1/2019,3.3,4.1,4.3,5
10/1/2019,3.3,4,4.3,5
11/1/2019,3.3,4,4.3,5
12/1/2019,3.3,4,4.4,5
1/1/2020,3.4,4,4.5,5.1
2/1/2020,3.4,4.1,4.6,5.1
3/1/2020,3.5,4.1,4.8,5.2
4/1/2020,16.8,16.5,16.4,15.5
5/1/2020,12.3,12.6,12.7,12.2
6/1/2020,10.2,5.1,11,10.4
7/1/2020,8.8,5.7,9.9,9.4
8/1/2020,7.2,5.2,8.4,8.3
9/1/2020,6.3,5.1,7.6,7.6
10/1/2020,5.5,4.9,6.8,6.9
11/1/2020,5.1,4.9,6.5,6.5
12/1/2020,4.8,4.9,6.2,6.2
1/1/2021,4.5,4.8,6,5.9
2/1/2021,4.3,4.7,5.8,5.8
3/1/2021,4.2,4.7,5.7,5.6
4/1/2021,4.1,4.7,5.6,5.5
5/1/2021,4,4.7,5.4,5.4
6/1/2021,3.9,4.8,5.3,5.3
7/1/2021,3.7,4.8,5.1,5.1
8/1/2021,3.4,4.8,4.9,4.8
9/1/2021,3.1,4.7,4.7,4.6
10/1/2021,2.8,4.6,4.5,4.3
11/1/2021,2.7,4.6,4.5,4.3
12/1/2021,2.7,4.6,4.5,4.3
1/1/2022,2.4,4.4,4.3,4.1
2/1/2022,2.3,4.2,4.2,3.9
3/1/2022,2.2,4,4.1,3.7
4/1/2022,2.2,3.9,4,3.6
5/1/2022,2.2,3.8,3.9,3.5
6/1/2022,2.4,3.7,3.9,3.6
7/1/2022,2.6,3.7,3.9,3.7
8/1/2022,2.8,3.8,4,3.9
